street_name,street_class_code,new_area_code,surface_type_code,Subarea,Subarea EA,line_length,route_no,year_built,os_sheets,road_start,road_finish,Irish
ABBEY PARK,6,3,2,14,14,172,,,319805,KILLESTER AVE.,,Páirc na Mainistreach
ABBEY STREET LOWER,3,1,1,15,15,315,,,326401,O'CONNELL ST.,BERESFORD PLACE,Sráid na Mainistreach íocht
ABBEY STREET MIDDLE,3,1,1,12,12,251,,,326305,LR. LIFFEY STREET,O'CONNELL STREET,Sráid Mheadhan na Mainistreach
OLD ABBEY STREET,6,1,2,15,15,156,,,326401,BERESFORD PLACE,MARLBOROUGH STREET,Sean Sráid na Mainistreach
ABBEY STREET UPPER,3,1,1,12,12,321,,,326305,CAPEL ST,LOWER LIFFEY STREET,Sráid na Mainistreach Uacht
ABBEYFIELD,6,3,1,14,14,782,,,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,4,3,1,14,14,442,,,319805,ST BRIGID RD,MIDDLE THIRD,Gort na Mainistreach
ABBEYFIELD,5,5,1,8,21,244,,1995,332907,MILLTOWN ROAD,,Goirt na Mainistreach
ABBOTSTOWN AVENUE,6,2,2,5,5,605,,,313116,CARDIFFBRIDGE RD,RATOATH ROAD,Ascaill Bhaile Abba
ABBOTSTOWN DRIVE,6,2,2,5,5,163,,,313116,RATOATH DRIVE,,Céide Bhaile an Abba
ABBOTSTOWN ROAD,6,2,2,5,5,336,,,313116,CAPPAGH RD,RATOATH AVE.,Bóthar Bhaile an Abba
ABERCORN ROAD,5,1,3,16,16,141,,,326402,SHERRIFF ST.,IRVINE TCE.,Bóthar Abarearnaigh
ABERCORN TERRACE,6,4,1,5,13,116,,,326215,ST. PATRICKS TERRACE,,Ardán Abarearnaigh
ABERDEEN STREET,6,1,3,1,1,144,,,326302,INFIRMARY RD.,FINDLATER ST.,Sráid Abardeón
ACCOMMODATION WALK,7,5,3,11,24,201,,,,,,An Cóngar
ACCOMMODATION WALK,7,5,2,11,24,304,,,,,,An Cóngar
ACHILL ROAD,6,1,3,14,22,155,,,319801,HOMEFARM RD.,,Bóthar Acaill
ADAIR LANE,7,5,2,9,1,43,,,326310,PRICES LANE,ASTON PLACE,Lána Uí Dhaire
ADAM COURT,7,5,3,17,9,30,,,326310,GRAFTON ST.,,Cúirt Ádhaimh
ADARE AVENUE,6,3,2,3,3,214,,,313209,ADARE RD.,BUNRATTY ROAD,Ascaill Átha Dara
ADARE DRIVE,6,3,2,3,3,209,,,313210,BUNRATTY RD,ADARE ROAD,Céide Átha Dara
ADARE GREEN,6,3,2,3,3,248,,,313210,BUNRATTY RD.,ADARE ROAD,Faiche Átha Dara
ADARE PARK,6,3,2,3,3,224,,,313210,ADARE RD,BUNRATTY ROAD,Páirc Átha Dara
ADARE ROAD,6,3,2,3,3,600,,,313210,COOLOCK DRIVE,BARRYSCOURT ROAD,Bóthar Átha Dara
ADDISON PLACE,6,1,1,13,21,52,,,319710,BOTANIC AVE.,,Plás Mac Ádaidh
